phoneNumber,preferredLanguage,fspName,paymentAmountMultiplier,name,middlename,firstname,gender,birthdate,documentid,headhousehold,males,boys,women,girls,householdsituation,maritalsituation,specialcharacteristics,pregnant,breastfeeding,womendisabled,mendisabled,girlsdisabled,boysdisabled,childrenmalnourished,malnourishedtreatment,whatsappPhoneNumber
63772290692,nl,Intersolve-whatsapp,1,Gibbs,Max,Johanna,Féminin,30-11-2000,GoNdk,Oui,1,8,0,3,returnee,married,pregnantbrestfeeding,4,5,3,4,8,1,8,Oui,00144693326
70746587715,nl,Intersolve-whatsapp,1,Freeman,Ethan,Glenn,Masculin ,30-11-2000,pxZUb,Oui,3,0,2,3,autochtonehost,abandoned,olderalone,3,0,4,7,2,5,3,Non,39325874466
58007695278,en,Intersolve-whatsapp,2,Jordan,Leila,Jean,Féminin,15-03-1990,jufXU,Oui,0,7,3,2,autochtoneprivate,married,none,3,2,1,0,7,8,7,Non,93252247657
52995692551,nl,Intersolve-whatsapp,1,Fowler,Lloyd,William,Féminin,30-11-2000,uzDSb,Oui,4,0,1,1,autochtonehost,married,none,9,3,8,5,1,2,4,Oui,26111246384
86415222530,nl,Intersolve-whatsapp,1,Gross,Travis,Gordon,Féminin,30-11-2000,TaBtX,Oui,0,0,3,7,autochtoneprivate,seperated,olderalone,5,4,5,5,4,7,2,Non,97902925130
28847940200,en,Intersolve-whatsapp,1,Paul,Ollie,Mason,Féminin,15-03-1990,rgekv,Non,8,7,7,1,displaced,married,olderalone,6,8,7,0,9,0,2,Oui,84955852805
30181258130,nl,Intersolve-whatsapp,1,Lynch,Shane,Anthony,Masculin ,30-11-2000,mFeFs,Oui,3,4,2,1,autochtoneprivate,abandoned,olderalone,1,3,2,9,7,6,9,Non,83030291910
16973403012,en,Intersolve-whatsapp,1,Cooper,Julia,Rosie,Féminin,30-11-2000,wbbgj,Non,7,9,5,9,autochtonehost,married,olderalone,2,8,3,5,5,1,4,Non,81547199427
11871026180,nl,Intersolve-whatsapp,2,Gonzalez,Bobby,Ruby,Masculin ,15-03-1990,sIscl,Non,0,4,5,1,autochtonehost,girl,none,6,8,7,1,2,0,7,Oui,42503603434
82464631540,en,Intersolve-whatsapp,1,Kelly,Connor,Emilie,Masculin ,30-11-2000,Pxcmx,Oui,9,6,4,8,displaced,seperated,elderlycharge,2,1,7,8,9,4,5,Oui,32193862560
94045169881,nl,Intersolve-whatsapp,2,West,Zachary,Chase,Féminin,30-11-2000,GfEra,Non,5,7,6,1,autochtoneprivate,married,elderlycharge,6,6,2,4,9,6,0,Non,61357379940
18458333869,nl,Intersolve-whatsapp,2,Hansen,Katie,Phillip,Masculin ,15-03-1990,oLFCR,Oui,8,0,3,2,displaced,seperated,childcharge,3,0,1,1,8,3,6,Non,90979599105
95897707359,nl,Intersolve-whatsapp,2,Hayes,Jayden,Polly,Masculin ,15-03-1990,DYMVO,Oui,1,0,6,1,autochtoneprivate,widowed,girlmother,1,7,3,1,4,7,9,Non,81430033938
49611721020,nl,Intersolve-whatsapp,1,Pena,Nancy,Corey,Masculin ,15-03-1990,iZDjj,Oui,7,7,4,0,displaced,seperated,girlmother,0,6,3,8,3,6,5,Non,18061448763
96445050137,en,Intersolve-whatsapp,1,Parsons,Helen,Etta,Féminin,15-03-1990,uHTZl,Oui,5,0,7,8,autochtoneprivate,married,childcharge,6,1,2,4,9,3,3,Non,93838788741
71850509829,en,Intersolve-whatsapp,2,Nichols,Belle,Kathryn,Masculin ,15-03-1990,xOQof,Oui,1,9,1,0,displaced,seperated,pregnantbrestfeeding,0,5,6,1,6,7,2,Oui,01280998565
34649651542,en,Intersolve-whatsapp,2,White,Joseph,Marcus,Féminin,15-03-1990,lyUff,Non,9,1,0,1,returnee,widowed,girlmother,0,5,0,8,3,0,2,Oui,31061202026
94206810818,nl,Intersolve-whatsapp,1,Hansen,Daniel,Phoebe,Masculin ,15-03-1990,XRYJX,Non,3,5,3,5,autochtonehost,married,womancharge,7,6,2,2,5,0,9,Non,07126550418
84166814386,en,Intersolve-whatsapp,2,Delgado,Craig,Clyde,Féminin,30-11-2000,gpApx,Oui,3,3,9,4,displaced,girl,olderalone,6,0,5,9,7,2,2,Non,02545577078
