projectFspConfigurationName;phoneNumber;preferredLanguage;paymentAmountMultiplier;maxPayments;fullName;idNumber;age;gender;bankAccountNumber
Awash-bank-ethiopia;251406725563;en;1;3;Anna Lloyd;5926161705;35;female;1000464047990
Awash-bank-ethiopia;251760752528;en;1;3;Amy Stark;1952210990;75;female;1000532049372
Commercial-bank-ethiopia;251646424269;en;1;3;Clinton Underwood;9731550044;75;male;1000531704242
Awash-bank-ethiopia;251757419608;en;1;3;Ryan Sanchez;8436689586;75;male;1000251577168
Awash-bank-ethiopia;251282026137;en;1;3;Monica Brown;3917774004;83;female;1000206897925
Awash-bank-ethiopia;251123391327;en;1;3;Kyle Ramos;1750843993;83;male;1000936520509
Awash-bank-ethiopia;251199574726;en;1;3;Jason Curtis;9596481071;83;male;1000857034507
Awash-bank-ethiopia;251537957227;en;1;3;Shaun Burnett;4116232237;85;male;1000267723776
Awash-bank-ethiopia;251677481347;en;1;3;Christopher York;1181666837;89;male;1000676657175
Commercial-bank-ethiopia;251373596713;en;1;3;Kevin Ward;5851770892;84;male;1000288399047
Commercial-bank-ethiopia;251645752123;en;1;3;Wendy Miller;4469356771;24;female;1000210673798
Awash-bank-ethiopia;251170337846;en;1;3;Michael Wilson;7004165011;75;male;1000868156944
Commercial-bank-ethiopia;251178351524;en;1;3;Alexandra Thornton;2382227385;32;female;1000219258147
Awash-bank-ethiopia;251231733001;en;1;3;Ann Bauer;9917890144;68;female;1000373186345
Awash-bank-ethiopia;251639191975;en;1;3;Geoffrey Mcmahon;7362265691;75;male;1000640757249
Commercial-bank-ethiopia;251583668797;en;1;3;Antonio Haynes;9306103923;85;male;1000857117893
Commercial-bank-ethiopia;251410674100;en;1;3;Jason Torres;1487242132;87;male;1000142245565
Commercial-bank-ethiopia;251491063848;en;1;3;Benjamin Barry;1893258886;88;male;1000904158625
Awash-bank-ethiopia;251637144931;en;1;3;Bobby Ferguson;2321829887;72;male;1000572405800
Awash-bank-ethiopia;251449645369;en;1;3;Angela Wallace;5543461723;80;female;1000674132034
Awash-bank-ethiopia;251742326627;en;1;3;Brandon Fischer;2265848529;76;male;1000929089374
Awash-bank-ethiopia;251806812562;en;1;3;Seth Chambers;1366185641;73;male;1000885008125
Commercial-bank-ethiopia;251946696065;en;1;3;James Garza;8165115219;77;male;1000450094020
Commercial-bank-ethiopia;251784434278;en;1;3;Brian Smith;4868588218;70;male;1000117132149
Commercial-bank-ethiopia;251360672461;en;1;3;Andrew Schultz;4740956772;69;male;1000121019750
Commercial-bank-ethiopia;251507356149;en;1;3;Mary Taylor;8673729352;68;female;1000404644296
Commercial-bank-ethiopia;251791037831;en;1;3;Scott Scott;4060079982;85;male;1000578404727
Commercial-bank-ethiopia;251826334202;en;1;3;Douglas Bell;9567038778;81;male;1000213707048
Commercial-bank-ethiopia;251474775180;en;1;3;Bryan Mclaughlin;2541483785;83;male;1000808300618
Awash-bank-ethiopia;251750812141;en;1;3;Billy Hubbard;8622717311;73;male;1000199189409
Awash-bank-ethiopia;251842765504;en;1;3;Jennifer Lee;6547930130;71;female;1000753305238
Commercial-bank-ethiopia;251299330215;en;1;3;Thomas Cole;5905088714;88;male;1000598823847
Awash-bank-ethiopia;251410137924;en;1;3;Tina Kemp;3411232374;84;female;1000134745241
Commercial-bank-ethiopia;251376208671;en;1;3;Steven Pierce;5197589700;87;male;1000836814458
Awash-bank-ethiopia;251414471186;en;1;3;Kim Hutchinson;5952336950;69;female;1000311069545
Commercial-bank-ethiopia;251449947486;en;1;3;Jeff Dodson;1729538201;81;male;1000766113185
Awash-bank-ethiopia;251338022202;en;1;3;Mallory Lindsey;4265188128;78;female;1000298482637
Commercial-bank-ethiopia;251332986512;en;1;3;Elizabeth Vasquez;8569995096;89;female;1000808185627
Commercial-bank-ethiopia;251675549927;en;1;3;Susan Joyce;6476438127;70;female;1000591341153
Awash-bank-ethiopia;251457934364;en;1;3;Mrs. Stephanie Tran MD;3514715008;85;female;1000704331418
Commercial-bank-ethiopia;251276832604;en;1;3;Sandra Hunt;1510442883;78;female;1000357439842
Commercial-bank-ethiopia;251215362783;en;1;3;Andre Lang;2664982100;85;male;1000700522204
Commercial-bank-ethiopia;251394022336;en;1;3;George Blackburn;3989197684;73;male;1000203564828
Awash-bank-ethiopia;251852967859;en;1;3;Aaron Price;4442785495;78;male;1000157240686
Commercial-bank-ethiopia;251650015900;en;1;3;David James;9230606192;80;male;1000933303622
Commercial-bank-ethiopia;251836648074;en;1;3;Candice Peterson;2765644604;82;female;1000720806041
Commercial-bank-ethiopia;251558059237;en;1;3;Andre Ray;2990800335;81;male;1000986641080
Awash-bank-ethiopia;251371971223;en;1;3;Patrick Torres PhD;9558236133;79;male;1000394613990
