projectFspConfigurationName;phoneNumber;preferredLanguage;maxPayments;scope;age;gender;fullName;village;howManyOver65;howManyChronic;howManyDisabilities;howManyPregnantLactating;howManyUnder5;howManyWidows;sum;totalHHSize;nationalId
Excel;254826725646;en;2;kisumu.kisumu-central;67;male;Mark Johnson;Milimani;0;0;0;0;0;1;1;3;46913810
Excel;254258970512;en;2;kisumu;78;male;David Taylor;Obunga;1;1;0;0;0;0;2;4;23756669
Excel;254468160270;en;2;kisumu.kisumu-east;57;female;Megan Mcclain;Kajulu;0;0;1;0;0;1;2;5;21668732
Excel;254993197679;en;2;kisumu.kisumu-east;63;male;Kevin Johnson;Kajulu;1;0;0;1;0;0;2;5;22575562
Excel;254323733451;en;2;turkana;71;male;Daniel Wagner;Kakuma;0;1;0;1;1;0;3;5;13561597
Excel;254893266860;en;2;kisumu;61;male;Justin Baldwin;Obunga;0;0;1;0;0;0;1;4;83140807
Excel;254229856600;en;2;kisumu.kisumu-west;57;female;Jennifer Cole;Kisian;0;0;0;0;0;0;0;2;47338124
Excel;254988735062;en;2;turkana;63;male;Robert Smith;Lokichar;0;0;1;1;0;0;2;5;31429110
Excel;254289031057;en;2;kisumu.kisumu-west;58;female;Melissa Peterson;Kisian;0;0;1;0;0;0;1;3;30868105
Excel;254329428230;en;2;kisumu;60;female;Cindy Gallagher;Nyalenda;1;1;1;0;0;0;3;5;23718431
Excel;254885302207;en;2;kisumu.kisumu-west;49;female;Anna Davis;Otonglo;1;0;1;0;1;0;3;6;56164955
Excel;254199593063;en;2;kisumu.kisumu-west;53;female;Lindsey Roman;Kisian;1;1;0;1;0;1;4;6;71662963
Excel;254902173407;en;2;kisumu.kisumu-east;59;male;Joshua Dudley;Kondele;0;0;0;0;1;0;1;3;60806024
Excel;254227299962;en;2;turkana.turkana-north;76;male;Blake Carter;Nakwamekwi;0;1;0;0;0;0;1;2;94374605
Excel;254318325456;en;2;turkana.turkana-north;32;female;Lisa Hensley;Nakwamekwi;0;0;0;0;0;0;0;2;87490893
Excel;254322317193;en;2;turkana.turkana-north;61;female;Cheryl Jones;Nakwamekwi;1;0;0;0;0;0;1;3;98753260
Excel;254924308645;en;2;turkana.turkana-north;45;male;Darren Roberts;Nariemet;0;0;0;0;0;0;0;2;20709497
Excel;254598446845;en;2;turkana;20;male;Scott Delacruz;Lokichar;1;0;0;0;1;0;2;5;61019678
Excel;254141568044;en;2;kisumu;83;female;Diana Reid;Obunga;1;1;0;0;0;0;2;5;58966946
