projectFspConfigurationName;phoneNumber;preferredLanguage;maxPayments;scope;age;gender;fullName;village;howManyOver65;howManyChronic;howManyDisabilities;howManyPregnantLactating;howManyUnder5;howManyWidows;sum;totalHHSize;nationalId
Safaricom;254826725646;en;2;kisumu.kisumu-central;67;male;Mark Johnson;Milimani;0;0;0;0;0;1;1;3;46913810
Safaricom;254258970512;en;2;kisumu;78;male;David Taylor;Obunga;1;1;0;0;0;0;2;4;23756669
Safaricom;254468160270;en;2;kisumu.kisumu-east;57;female;Megan Mcclain;Kajulu;0;0;1;0;0;1;2;5;21668732
Safaricom;254993197679;en;2;kisumu.kisumu-east;63;male;Kevin Johnson;Kajulu;1;0;0;1;0;0;2;5;22575562
Safaricom;254323733451;en;2;turkana;71;male;Daniel Wagner;Kakuma;0;1;0;1;1;0;3;5;13561597
Safaricom;254893266860;en;2;kisumu;61;male;Justin Baldwin;Obunga;0;0;1;0;0;0;1;4;83140807
Safaricom;254229856600;en;2;kisumu.kisumu-west;57;female;Jennifer Cole;Kisian;0;0;0;0;0;0;0;2;47338124
Safaricom;254988735062;en;2;turkana;63;male;Robert Smith;Lokichar;0;0;1;1;0;0;2;5;31429110
Safaricom;254289031057;en;2;kisumu.kisumu-west;58;female;Melissa Peterson;Kisian;0;0;1;0;0;0;1;3;30868105
Safaricom;254329428230;en;2;kisumu;60;female;Cindy Gallagher;Nyalenda;1;1;1;0;0;0;3;5;23718431
Safaricom;254885302207;en;2;kisumu.kisumu-west;49;female;Anna Davis;Otonglo;1;0;1;0;1;0;3;6;56164955
Safaricom;254199593063;en;2;kisumu.kisumu-west;53;female;Lindsey Roman;Kisian;1;1;0;1;0;1;4;6;71662963
Safaricom;254902173407;en;2;kisumu.kisumu-east;59;male;Joshua Dudley;Kondele;0;0;0;0;1;0;1;3;60806024
Safaricom;254227299962;en;2;turkana.turkana-north;76;male;Blake Carter;Nakwamekwi;0;1;0;0;0;0;1;2;94374605
Safaricom;254318325456;en;2;turkana.turkana-north;32;female;Lisa Hensley;Nakwamekwi;0;0;0;0;0;0;0;2;87490893
Safaricom;254322317193;en;2;turkana.turkana-north;61;female;Cheryl Jones;Nakwamekwi;1;0;0;0;0;0;1;3;98753260
Safaricom;254924308645;en;2;turkana.turkana-north;45;male;Darren Roberts;Nariemet;0;0;0;0;0;0;0;2;20709497
Safaricom;254598446845;en;2;turkana;20;male;Scott Delacruz;Lokichar;1;0;0;0;1;0;2;5;61019678
Safaricom;254141568044;en;2;kisumu;83;female;Diana Reid;Obunga;1;1;0;0;0;0;2;5;58966946
Safaricom;254517428613;en;2;kisumu.kisumu-central;84;female;Carla Kelly;Nyamasaria;1;1;0;0;1;1;4;7;99949389
Safaricom;254915973881;en;2;turkana;28;female;Debra Zuniga;Kakuma;1;0;0;0;1;0;2;3;96977837
Safaricom;254740742155;en;2;kisumu.kisumu-central;67;female;Andrea Reid;Nyamasaria;0;1;0;0;1;0;2;5;81691040
Safaricom;254598136700;en;2;kisumu.kisumu-west;72;female;Monica Martin;Kisian;0;0;0;1;1;0;2;5;60929647
Safaricom;254805066345;en;2;kisumu.kisumu-west;47;male;Devin Schaefer;Kisian;1;0;0;1;0;0;2;3;84752529
Safaricom;254954165729;en;2;kisumu.kisumu-central;50;female;Colleen Nguyen;Nyamasaria;1;1;1;1;0;0;4;7;17507864
Safaricom;254916805726;en;2;kisumu.kisumu-east;58;female;Crystal Johnson;Kajulu;0;0;0;1;1;0;2;3;52339391
Safaricom;254710028163;en;2;turkana.turkana-north;89;male;James Jones;Nakwamekwi;0;0;0;0;0;0;0;3;86125617
Safaricom;254596931387;en;2;turkana;60;female;Sherri Edwards;Lokichar;1;0;1;0;0;0;2;5;97971488
Safaricom;254634464058;en;2;kisumu;47;female;Kathryn Wilkerson;Nyalenda;0;0;0;0;1;1;2;5;96282117
Safaricom;254206004537;en;2;turkana.turkana-north;69;female;Judy Baker;Nakwamekwi;0;0;1;0;0;0;1;4;43101783
Safaricom;254613711294;en;2;kisumu.kisumu-east;58;male;Patrick Ryan;Kondele;0;1;0;0;0;1;2;3;88461803
